ArticleId,Text,Category
1976,lifestyle governs mobile choice faster better funkier hardware alone going help phone firms sell handsets research suggests instead phone firms keen get customers pushing technology sake consumers far interested handsets fit lifestyle screen size onboard memory chip inside shows depth study handset maker ericsson historically industry much focus using technology said dr michael bjorn senior advisor mobile media ericsson consumer enterprise lab stop saying technologies change lives said try speak consumers language help see fits told bbc news website study ericsson interviewed 14 000 mobile phone owners ways use phone people habits remain said dr bjorn move activity mobile phone much convenient way one good example diary writing among younger people said diaries always popular mobile phone especially one equipped camera helps keep different form youngsters use text messages also reflects desire chat keep contact friends lets slightly changed way dr bjorn said although consumers always use phone sheer variety new handset technologies make possible gradually drive new habits lifestyles ericsson research shown consumers divide different tribes use phones different ways dr bjorn said groups dubbed pioneers materialists interested trying new things behind start many trends phone use instance said older people using sms much five years ago younger users often children ageing mobile owners encouraged older people try could keep touch another factor governing speed change mobile phone use simple speed new devices bought pioneers materialists 25 people handsets new innovations cameras consumers stop worrying send picture message person end able see significant number users passed use new innovations tends take dr bjorn said early reports camera phone usage japan seemed imply innovation going flop however said 45 japanese people ericsson questioned use camera phone least month 2003 figure 29 similarly across europe numbers people taking snaps cameras starting rise 2003 4 people uk took phonecam snap least month figure 14 similar rises seen many european nations dr bjorn said people also used camera phones different ways film even digital cameras usage patterns digital cameras almost exactly replacing usage patterns analogue cameras said digital cameras tend used significant events weddings holidays birthdays contrast said camera phones used much capture moment woven everyday life ,tech
1797,french honour director parker british film director sir alan parker made officer order arts letters one france highest cultural honours sir alan received decoration paris wednesday french culture minister renaud donnedieu de vabres explored possibilities film immense talent mr de vabres said presented award parker praised french films saying hollywood created modern cinema uses commodity told minister honoured thus distinguished france flag carrier cinema throughout world sir alan films include oscar winning fame plus midnight express commitments founding member director guild great britain former chairman uk film council board british film institute work campaigns shown us artist occupies essential place contemporary society mr de vabres said dreams show us links weave question world mirror work also cited director 2003 film life david gale kevin spacey played man death row proof veritable artistic commitment death sentence ,entertainment
1866,fockers fuel festive film chart comedy meet fockers topped festive box office north america setting new record christmas day sequel took 44 7m 23 2m 24 26 december according studio estimates took 19 1m 9 9m christmas day alone highest takings day box office history meet fockers sequel ben stiller comedy meet parents also starring robert de niro blythe danner dustin hoffman barbra streisand despite success meet fockers takings 26 5 2003 figures blamed christmas falling weekend year christmas falls weekend bad business said paul dergarabedian president exhibitor relations compiles box office statistics weekend top 12 films took estimated 121 9m 63 3m compared 165 8m 86 1m last year third lord rings film dominated box office meet fockers knocked last week top film lemony snicket series unfortunate events third place 12 5m 6 5m comedy fat albert co written bill cosby entered chart second place opening christmas day taking 12 7m 6 6m aviator starring leonardo dicaprio howard hughes took 9 4m expanding 40 1 796 cinemas christmas day ,entertainment
1153,housewives lift channel 4 ratings debut us television hit desperate housewives helped lift channel 4 january audience share 12 compared last year successes celebrity big brother simpsons enabled broadcaster surpass bbc2 first month since last july however channel share audience fell 11 2 9 6 last month comparison january 2004 celebrity big brother attracted less viewers 2002 series comedy drama desperate housewives managed pull five million viewers one point run date attracting quarter television audience two main television channels bbc1 itv1 seen monthly audience share decline year year comparison january five proportion remained slender 6 3 digital multi channel tv continuing strongest area growth bbc reporting freeview box ownership five million including one million sales last portion 2004 share audience soared 20 january 2005 compared last year currently stands average 28 6 ,entertainment
342,u2 desire number one u2 three prestigious grammy awards hit vertigo stubbornly clinging status one biggest bands world popular groups history rock several things common music must inspired appeal across generations distinctive always groundbreaking success music compelling performers charismatic intelligent enough make good decisions keep feet ground also want want biggest band ever stop wanting beatles rolling stones still rem hold onto queen catsuit u2 spades keep churning new album dismantle atomic bomb comes 28 years schoolfriends got together dublin 17 years joshua tree cemented place time rock list may lost edginess raw youthful force propelled top lost none desire ability craft songs albums vertigo first single new album went straight uk singles chart number one knocking eminem top spot giving 26th top 10 hit challenge bigger bolder better make records whole world listen bono recently said drummer larry mullen jr echoed sentiments competitive want radio big singles want thought veteran band band done everything considerable powers ensure remain biggest band world according q magazine editor paul rees makes hugely determined formidable added equally determined push make music continues stand constantly invented challenged perhaps alone rock band got better age key ingredient fact highly organised mr rees said everything right way group born mullen put appeal bandmates high school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass david evans edge guitar brother dick dick evans soon dropped four piece known feedback hype settling u2 1978 talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently said way exactly badly struggled attract record company attention later described pretty damn average strange eerie scouts saw live released two ireland singles topped national charts 1979 1980 leading deal island debut album boy stadium filling anthemic sound u2 aim start third album war saw make breakthrough sides atlantic going number one uk 12 us songs like sunday bloody sunday new year day brought success image political spiritual band bono rejected cliche stage performances included flag waving speaker climbing drum throwing earned reputation electric performer appearance 1985 live aid widely seen sealing global stardom 1987 joshua tree broke sales records saw band reach height powers hits including streets name still found looking without songs took band epic atmospheric sound simple powerful popular pinnacle end decade marked crucial point band reached top still yearned new challenges achievements came form explorations different branches rock forays electronic dance music plus wildly extravagant stage shows still trying retain mass appeal achtung baby album 1991 followed zooropa pop corresponding stadium tours featured giant olives flying cars live phone calls white house bono transformation alter egos fly macphisto also building parallel reputation always pleasure bandmates campaigner issues global debt aids release dismantle atomic bomb sold 125 million albums around world still want ,entertainment
1552,moving mobile improves golf swing mobile phone recognises responds movements launched japan motion sensitive phone officially titled v603sh developed sharp launched vodafone japanese division devised mainly mobile gaming users also access phone functions using pre set pattern arm movements phone allow golf fans improve swing via golfing game prefer shoot em ups able use phone like gun shoot zombies mobile version sega house dead phone comes tiny motion control sensor computer chip responds movement features include display screen allows users watch tv rotate 180 degrees also doubles electronic musical instrument users select sound menu includes clapping tambourine maracas shake phone create beat recommended karaoke market phone initially available japan due go sale mid february new gadget could make interesting people watching among japanese commuters able access mobiles subway fishing afficiandos south korea already using phone allows simulate movement rod ph s6500 phone dubbed sports leisure gadget developed korean phone giant pantech also used runners measure calorie consumption distance run ,tech
177,carry star patsy rowlands dies actress patsy rowlands known millions roles carry films died age 71 rowlands starred nine popular carry films alongside fellow regulars sid james kenneth williams barbara windsor also carved successful television career appearing many years itv well loved comedy bless house rowlands died hove saturday morning agent said born january 1934 rowlands scholarship guildhall school speech drama scholarship 15 spending several years players theatre london made film debut 1963 tom jones directed tony richardson made first carry film 1969 appeared carry doctor rowlands played hard done wife put upon employee regular carry star also appeared carry convenience carry matron carry loving well others recent years appeared bbc mini series cazalets played mrs potts london stage version beauty beast agent simon beresford said absolutely favourite client never complained anything particularly ill old trouper old school skills musical theatre high drama worked great good directors mind always recognised carry films thoroughly enjoyed making really lovely person much missed last appearance stage mrs pearce award winning production fair lady national theatre previously married leaves one son alan funeral private family occasion memorial service later date ,entertainment
405,bt boosts broadband packages british telecom said double broadband speeds home business customers increased speeds come extra charge follows similar move internet service provider aol many bt customers download speeds 2mbps although usage allowances one gigabyte 30 gigabytes month new speeds start come effect 17 february home customers 1 april businesses britain broadband britain said duncan ingram bt managing director broadband internet services added ninety percent customers see real increases speed speed increases give people opportunity lot broadband connections said upload speeds speed information sent pc via broadband remain speed said mr ingram despite increases bt continue usage allowances home customers allowances extremely generous said mr ingram seeing market place really issue bt begin enforcing allowances summer customers exceed amounts either able pay bigger allowance see download speeds reduced bt 36 share broadband market 39 becoming increasingly competitive last months many rival isps begun offer 2mbps services including aol plusnet uk online britain continues lag behind countries especially japan south korea offer broadband speeds 40mbps mr ingram said important separate hype reality said limited number people connections consistently received speeds 40mbps customers see connections double immediately 17 february mr ingram said would roll across network order prevent problems ,tech
702,peer peer nets stay peer peer p2p networks stay verge exploited commercial media firms says panel industry experts several high profile legal cases file sharers resolved year firms keen try make money p2p technology expert panel probed future p2p consumer electronics show las vegas earlier january first convictions p2p piracy handed us january william trowbridge michael chicoine pleaded guilty charges infringed copyright illegally sharing music movies software since first successful file sharing network napster forced close entertainment industry nervous critical p2p technology blaming falling sales piracy going change soon according panel music film industries started big legal cases owners legitimate p2p networks illegal individuals accused distributing pirated content networks slowly realised p2p good way distribute content said travis kalanick founder chairman p2p network red swoosh soon going want slice waiting come business models work includes digital rights management copy protection standards legal actions resolved experimentation p2p cannot happen said michael weiss president streamcast networks remembering furore around vcrs first came mr weiss said old media always tries stop new media stop try control figure make money always make lot money courts decided vcr illegal technology film studios turned extremely lucrative business august 2004 san francisco based us court appeals ruled favour grokster streamcast two file sharing networks court said essentially position sony 1980s vcr battle said networks could deemed illegal p2p networks usually rely dedicated servers transfer files instead uses direct connections computers clients many different types p2p systems work different ways p2p nets used share kind file like photos free software licensed music digital content bbc already decided embrace technology aims offer programmes download year use p2p technology distribute files would locked seven days programme aired making rights management easier control technology still demonised misunderstood many global entertainment industry says 2 6 billion copyrighted music files downloaded every month half million films downloaded day legal music download services like apple itunes napster rushed music marketplace try lure file sharers away free content sales legally downloaded songs grew tenfold 2004 200 million tracks bought online us europe 12 months ifpi reported week download services different p2p networks least financial aspect several money spinning models could turn p2p golden egg commercial entertainment companies paid pass along firms receive money time file shared along various drm solutions advertiser based options considered see going different models commoditising p2p said marc morgenstern vice president anti piracy firm overpeer consumers hungry discover new models together agreed mr morgenstern many net users continue ignore entertainment industry potential controlling grip content p2p technology continuing use creations unsigned bands example use p2p networks distribute music effectively also draws attention record companies looking new artists sign increasingly seeing p2p consumer created content said derek broes microsoft probably pay increasing role helping p2p spread said looking p2p future file sharing beginning p2p networks far mr broes concerned issues resolved going see aggressive movement protect content also ways unimaginable said file sharing tip iceberg ,tech
1951,pompeii gets digital make old fashioned audio tour historical places could soon replaced computer generated images bring site life european union funded project looking providing tourists computer augmented versions archaeological attractions would allow visitors glimpse life originally lived places pompeii could pave way new form cultural tourism technology would allow digital people computer generated elements combined actual view seen tourists walk around historical site lifeplus project part eu information society technologies initiative aimed promoting user friendly technology enhancing european cultural heritage engineers researchers working europe wide consortium come prototype augmented reality system would require visitor wear head mounted display miniature camera backpack computer camera captures view feeds software computer visitor viewpoint combined animated virtual elements pompeii example visitor would see frescos taverns villas excavated also people going daily life augmented reality used create special effects films troy lord rings computer gaming technology used much computer games said professor nadia magnenat thalman swiss research group miralab first time able run combination software processes create walking talking people believable clothing skin hair real time said unlike virtual reality delivers entirely computer generated scene viewer lifeplus project combining digital real views crucial technique software interprets visitor view provides accurate match real virtual elements software capable developed uk company 2d3 andrew stoddart chief scientist 2d3 said eu project driven new desire bring past life popularity television documentaries dramatisations using computer generated imagery recreate scenes ancient history demonstrates widespread appeal bringing ancient cultures life said ,tech
